timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551344.7098603,1,0.0,72831,1,0.794875,0.363919,-11.573571,0.005995,0.0,-0.031842
1772551344.7160022,1,0.0,72831,2,1.086968,-0.158017,-11.286267,-0.013723,0.015055,-0.035173
1772551344.7213001,1,0.0,72831,3,0.277727,-0.316035,-11.650186,-0.067415,-0.024381,-0.017986
1772551344.7264287,1,0.0,72831,4,-0.057461,0.435745,-11.563994,-0.025447,-0.0004,-0.003864
1772551344.7346358,1,0.0,72860,1,0.751779,0.363919,-11.597513,0.005196,-0.001332,-0.032908
1772551344.7401423,1,0.0,72860,2,1.115698,-0.172383,-11.27669,-0.015988,0.016254,-0.034107
1772551344.7457757,1,0.0,72860,3,0.215478,-0.335188,-11.731588,-0.059688,-0.027179,-0.019319
1772551344.7525077,1,0.0,72860,4,-0.124498,0.445322,-11.7268,-0.024515,0.000799,-0.003597
1772551344.7632782,2,0.0,72889,1,0.770933,0.35913,-11.511322,0.001732,-0.016787,-0.031043
1772551344.7687519,2,0.0,72889,2,1.029507,-0.110133,-11.300632,-0.011858,0.018119,-0.034507
1772551344.774362,2,0.0,72889,3,0.335188,-0.320823,-11.745954,-0.058222,-0.025447,-0.019052
1772551344.7812076,2,0.0,72889,4,-0.062249,0.387861,-11.592725,-0.025181,-0.022649,-0.003997
1772551344.7917507,2,0.0,72918,1,0.761356,0.407014,-11.525687,0.002265,0.00826,-0.031709
1772551344.7973123,2,0.0,72918,2,1.077391,-0.124498,-11.348516,-0.005462,0.01772,-0.03424
1772551344.8041754,2,0.0,72918,3,0.282516,-0.320823,-11.707646,-0.059155,-0.010658,-0.019585
1772551344.810179,2,0.0,72918,4,-0.052672,0.42138,-11.549629,-0.023848,-0.014922,-0.002931
1772551344.821775,2,0.0,72947,1,0.751779,0.373495,-11.678916,-0.005995,0.005995,-0.033308
1772551344.8272269,2,0.0,72947,2,1.125275,-0.172383,-11.410766,-0.007727,0.003864,-0.031842
1772551344.8328679,2,0.0,72947,3,0.205901,-0.3304,-11.717223,-0.054358,-0.01772,-0.019585
1772551344.839638,2,0.0,72947,4,-0.100556,0.411803,-11.63582,-0.020917,0.00866,-0.001199
1772551344.850403,2,0.0,72976,1,0.785298,0.311246,-11.611878,-0.003064,-0.01279,-0.03051
1772551344.8559144,2,0.0,72976,2,1.058237,-0.124498,-11.362882,-0.012124,0.012124,-0.033708
1772551344.8615477,2,0.0,72976,3,0.3304,-0.316035,-11.659762,-0.058622,-0.021317,-0.018119
1772551344.8683956,2,0.0,72976,4,-0.067038,0.392649,-11.583148,-0.02145,-0.002132,-0.00373
1772551344.8790429,2,0.0,73005,1,0.794875,0.363919,-11.592725,0.003864,-0.00493,-0.030776
1772551344.8912346,2,0.0,73005,2,1.149217,-0.143652,-11.204864,-0.018786,0.014789,-0.035573
1772551344.8970754,2,0.0,73005,3,0.220267,-0.263362,-11.611878,-0.061153,-0.020384,-0.018119
1772551344.9027104,2,0.0,73005,4,-0.081403,0.459687,-11.559206,-0.029178,0.00373,-0.003464
1772551344.9081223,2,0.0,73034,1,0.727837,0.387861,-11.540052,0.009593,-0.003597,-0.032908
1772551344.9144235,2,0.0,73034,2,1.101333,-0.124498,-11.228806,-0.016387,0.018786,-0.033175
1772551344.919963,2,0.0,73034,3,0.186748,-0.311246,-11.765107,-0.051694,-0.022516,-0.019585
1772551344.9268277,2,0.0,73034,4,-0.095768,0.474052,-11.760319,-0.025447,-0.00453,-0.002798
1772551344.9375045,2,0.0,73063,1,0.751779,0.35913,-11.477803,0.000533,-0.014655,-0.031975
1772551344.942999,2,0.0,73063,2,1.04866,-0.105345,-11.310209,-0.007861,0.01772,-0.034907
1772551344.9485853,2,0.0,73063,3,0.301669,-0.301669,-11.712435,-0.053559,-0.014123,-0.019319
1772551344.9554458,2,0.0,73063,4,-0.081403,0.411803,-11.583148,-0.021583,-0.021983,-0.00453
1772551344.9660234,2,0.0,73092,1,0.790087,0.407014,-11.530476,0.002398,0.003198,-0.03091
1772551344.971527,2,0.0,73092,2,1.115698,-0.143652,-11.329363,-0.009726,0.015988,-0.033175
1772551344.977132,2,0.0,73092,3,0.287304,-0.282516,-11.683704,-0.054358,-0.009992,-0.019452
1772551344.9840043,2,0.0,73092,4,-0.057461,0.426168,-11.554418,-0.026513,-0.016387,-0.003997
1772551344.9947023,2,0.0,73121,1,0.737414,0.387861,-11.645397,-0.004397,0.008793,-0.032642
1772551345.001547,2,0.0,73121,2,1.134852,-0.186748,-11.434708,-0.005196,0.00413,-0.032508
1772551345.0070646,2,0.0,73121,3,0.191536,-0.325611,-11.774684,-0.048896,-0.00826,-0.019718
1772551345.0126,2,0.0,73121,4,-0.076614,0.402226,-11.678916,-0.022383,0.003464,-0.002931
1772551345.0246558,2,0.0,73150,1,0.794875,0.320823,-11.69807,-0.008527,-0.013989,-0.03091
1772551345.0301647,2,0.0,73150,2,1.067814,-0.138864,-11.362882,-0.011591,0.006928,-0.032908
1772551345.0357666,2,0.0,73150,3,0.296881,-0.306458,-11.674128,-0.055158,-0.017453,-0.019319
1772551345.042648,2,0.0,73150,4,-0.076614,0.387861,-11.597513,-0.024914,-0.001066,-0.00373
1772551345.0532117,2,0.0,73179,1,0.799663,0.354342,-11.568783,0.008127,-0.001998,-0.031043
1772551345.058719,2,0.0,73179,2,1.144428,-0.129287,-11.209652,-0.01772,0.017054,-0.034107
1772551345.0643675,2,0.0,73179,3,0.263362,-0.277727,-11.592725,-0.057423,-0.015055,-0.018519
1772551345.0712135,2,0.0,73179,4,-0.081403,0.45011,-11.563994,-0.027446,-0.004397,-0.003464
1772551345.0817742,2,0.0,73208,1,0.746991,0.383072,-11.51611,0.006795,0.002531,-0.032508
1772551345.087311,2,0.0,73208,2,1.106121,-0.138864,-11.295844,-0.012391,0.015055,-0.032908
1772551345.094141,2,0.0,73208,3,0.162806,-0.272939,-11.741165,-0.050495,-0.014389,-0.019585
1772551345.0997334,2,0.0,73208,4,-0.095768,0.454898,-11.693281,-0.024115,-0.000533,-0.002798
1772551345.1117792,2,0.0,73237,1,0.761356,0.349553,-11.554418,-0.002132,-0.018919,-0.031576
1772551345.1173155,2,0.0,73237,2,1.024718,-0.095768,-11.281479,-0.010392,0.016654,-0.034107
1772551345.1229203,2,0.0,73237,3,0.23942,-0.287304,-11.784261,-0.045165,-0.01692,-0.019985
1772551345.1298258,2,0.0,73237,4,-0.057461,0.402226,-11.597513,-0.025447,-0.020384,-0.004796
1772551345.1402564,2,0.0,73266,1,0.794875,0.387861,-11.525687,0.000266,0.000266,-0.031176
1772551345.1457822,2,0.0,73266,2,1.101333,-0.138864,-11.324574,-0.007994,0.011458,-0.034507
1772551345.1513758,2,0.0,73266,3,0.258574,-0.268151,-11.702858,-0.051827,-0.007861,-0.019585
1772551345.1582875,2,0.0,73266,4,-0.052672,0.411803,-11.559206,-0.027845,-0.014922,-0.004263
1772551345.168957,2,0.0,73295,1,0.746991,0.397437,-11.602302,-0.000666,0.00453,-0.032642
1772551345.1744866,2,0.0,73295,2,1.106121,-0.172383,-11.3964,-0.010792,0.007594,-0.032375
1772551345.1813533,2,0.0,73295,3,0.172383,-0.287304,-11.75553,-0.049162,-0.008926,-0.019585
1772551345.1869743,2,0.0,73295,4,-0.067038,0.402226,-11.678916,-0.023848,-0.001732,-0.002265
1772551345.1977022,2,0.0,73324,1,0.756568,0.349553,-11.602302,-0.006395,-0.007194,-0.032375
1772551345.2102556,2,0.0,73324,2,1.058237,-0.158017,-11.420342,-0.008926,0.009459,-0.033175
